,p,b,m,f,v,t,d,s,z,n,l,r,ts,dz,ʃ,tʃ,dʒ,k,ɡ,ħ,ʔ
p,1.0,0.5,0.25,0.5,0.3333333333333333,0.4375,0.2777777777777778,0.25,0.21052631578947367,0.2,0.125,0.06666666666666667,0.35,0.23809523809523808,0.23529411764705882,0.3684210526315789,0.23809523809523808,0.3125,0.23529411764705882,0.35714285714285715,0.26666666666666666
b,0.5,1.0,0.25,0.3333333333333333,0.5,0.2777777777777778,0.4375,0.19047619047619047,0.2777777777777778,0.2,0.125,0.06666666666666667,0.22727272727272727,0.3684210526315789,0.23529411764705882,0.23809523809523808,0.3684210526315789,0.23529411764705882,0.3125,0.35714285714285715,0.26666666666666666
m,0.25,0.25,1.0,0.25,0.25,0.1875,0.1875,0.16666666666666666,0.1875,0.75,0.4,0.2,0.15,0.15789473684210525,0.21428571428571427,0.15789473684210525,0.15789473684210525,0.21428571428571427,0.21428571428571427,0.25,0.25
f,0.5,0.3333333333333333,0.25,1.0,0.5,0.2777777777777778,0.21052631578947367,0.3888888888888889,0.2777777777777778,0.2,0.125,0.06666666666666667,0.22727272727272727,0.18181818181818182,0.3125,0.23809523809523808,0.18181818181818182,0.5,0.3125,0.26666666666666666,0.35714285714285715
v,0.3333333333333333,0.5,0.25,0.5,1.0,0.21052631578947367,0.2777777777777778,0.25,0.4375,0.2,0.125,0.06666666666666667,0.17391304347826086,0.23809523809523808,0.3125,0.18181818181818182,0.23809523809523808,0.3125,0.5,0.26666666666666666,0.35714285714285715
t,0.4375,0.2777777777777778,0.1875,0.2777777777777778,0.21052631578947367,1.0,0.4666666666666667,0.4117647058823529,0.29411764705882354,0.21428571428571427,0.13333333333333333,0.07142857142857142,0.7333333333333333,0.3888888888888889,0.3333333333333333,0.7857142857142857,0.3888888888888889,0.3333333333333333,0.25,0.38461538461538464,0.2857142857142857
d,0.2777777777777778,0.4375,0.1875,0.21052631578947367,0.2777777777777778,0.4666666666666667,1.0,0.2631578947368421,0.4666666666666667,0.21428571428571427,0.13333333333333333,0.07142857142857142,0.3684210526315789,0.7857142857142857,0.3333333333333333,0.3888888888888889,0.7857142857142857,0.25,0.3333333333333333,0.38461538461538464,0.2857142857142857
s,0.25,0.19047619047619047,0.16666666666666666,0.3888888888888889,0.25,0.4117647058823529,0.2631578947368421,1.0,0.4117647058823529,0.1875,0.11764705882352941,0.0625,0.47368421052631576,0.2857142857142857,0.4666666666666667,0.35,0.22727272727272727,0.4666666666666667,0.29411764705882354,0.25,0.3333333333333333
z,0.21052631578947367,0.2777777777777778,0.1875,0.2777777777777778,0.4375,0.29411764705882354,0.4666666666666667,0.4117647058823529,1.0,0.21428571428571427,0.13333333333333333,0.07142857142857142,0.23809523809523808,0.3888888888888889,0.5384615384615384,0.25,0.3888888888888889,0.3333333333333333,0.5384615384615384,0.2857142857142857,0.38461538461538464
n,0.2,0.2,0.75,0.2,0.2,0.21428571428571427,0.21428571428571427,0.1875,0.21428571428571427,1.0,0.5,0.25,0.16666666666666666,0.17647058823529413,0.25,0.17647058823529413,0.17647058823529413,0.25,0.25,0.3,0.3
l,0.125,0.125,0.4,0.125,0.125,0.13333333333333333,0.13333333333333333,0.11764705882352941,0.13333333333333333,0.5,1.0,0.42857142857142855,0.10526315789473684,0.1111111111111111,0.15384615384615385,0.1111111111111111,0.1111111111111111,0.15384615384615385,0.15384615384615385,0.18181818181818182,0.18181818181818182
r,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.07142857142857142,0.0625,0.07142857142857142,0.25,0.42857142857142855,1.0,0.05555555555555555,0.058823529411764705,0.08333333333333333,0.058823529411764705,0.058823529411764705,0.08333333333333333,0.08333333333333333,0.1,0.1
ts,0.35,0.22727272727272727,0.15,0.22727272727272727,0.17391304347826086,0.7333333333333333,0.3684210526315789,0.47368421052631576,0.23809523809523808,0.16666666666666666,0.10526315789473684,0.05555555555555555,1.0,0.45,0.2631578947368421,0.6111111111111112,0.3181818181818182,0.2631578947368421,0.2,0.29411764705882354,0.2222222222222222
dz,0.23809523809523808,0.3684210526315789,0.15789473684210525,0.18181818181818182,0.23809523809523808,0.3888888888888889,0.7857142857142857,0.2857142857142857,0.3888888888888889,0.17647058823529413,0.1111111111111111,0.058823529411764705,0.45,1.0,0.2777777777777778,0.3333333333333333,0.6470588235294118,0.21052631578947367,0.2777777777777778,0.3125,0.23529411764705882
ʃ,0.23529411764705882,0.23529411764705882,0.21428571428571427,0.3125,0.3125,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.5384615384615384,0.25,0.15384615384615385,0.08333333333333333,0.2631578947368421,0.2777777777777778,1.0,0.35294117647058826,0.35294117647058826,0.38461538461538464,0.38461538461538464,0.3333333333333333,0.45454545454545453
tʃ,0.3684210526315789,0.23809523809523808,0.15789473684210525,0.23809523809523808,0.18181818181818182,0.7857142857142857,0.3888888888888889,0.35,0.25,0.17647058823529413,0.1111111111111111,0.058823529411764705,0.6111111111111112,0.3333333333333333,0.35294117647058826,1.0,0.47368421052631576,0.2777777777777778,0.21052631578947367,0.3125,0.23529411764705882
dʒ,0.23809523809523808,0.3684210526315789,0.15789473684210525,0.18181818181818182,0.23809523809523808,0.3888888888888889,0.7857142857142857,0.22727272727272727,0.3888888888888889,0.17647058823529413,0.1111111111111111,0.058823529411764705,0.3181818181818182,0.6470588235294118,0.35294117647058826,0.47368421052631576,1.0,0.21052631578947367,0.2777777777777778,0.3125,0.23529411764705882
k,0.3125,0.23529411764705882,0.21428571428571427,0.5,0.3125,0.3333333333333333,0.25,0.4666666666666667,0.3333333333333333,0.25,0.15384615384615385,0.08333333333333333,0.2631578947368421,0.21052631578947367,0.38461538461538464,0.2777777777777778,0.21052631578947367,1.0,0.5,0.3333333333333333,0.45454545454545453
ɡ,0.23529411764705882,0.3125,0.21428571428571427,0.3125,0.5,0.25,0.3333333333333333,0.29411764705882354,0.5384615384615384,0.25,0.15384615384615385,0.08333333333333333,0.2,0.2777777777777778,0.38461538461538464,0.21052631578947367,0.2777777777777778,0.5,1.0,0.3333333333333333,0.45454545454545453
ħ,0.35714285714285715,0.35714285714285715,0.25,0.26666666666666666,0.26666666666666666,0.38461538461538464,0.38461538461538464,0.25,0.2857142857142857,0.3,0.18181818181818182,0.1,0.29411764705882354,0.3125,0.3333333333333333,0.3125,0.3125,0.3333333333333333,0.3333333333333333,1.0,0.5555555555555556
ʔ,0.26666666666666666,0.26666666666666666,0.25,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.38461538461538464,0.3,0.18181818181818182,0.1,0.2222222222222222,0.23529411764705882,0.45454545454545453,0.23529411764705882,0.23529411764705882,0.45454545454545453,0.45454545454545453,0.5555555555555556,1.0
